user_id	H	SD	SH	PD	type_player_numerical
409	1.0100	0.0100	0.8671	0.5100	0.3334
410	0.7600		0.2957	0.0100	0.6667
411	1.0100	0.3433	0.0100	0.0100	0.0001
412	1.0100	0.0100	0.3433	0.5100	0.3334
413	0.6767	0.5100	0.4100	1.0100	1.0001
414	0.8850	0.0100	0.0100	0.3433	1.0001
415	0.7600	0.5100	0.0100	0.5100	1.0001
416	1.0100	0.0100	0.2100	0.7600	0.3334
417	0.7600	1.0100	0.6100	0.0100	0.6667
418	0.5100	0.7600	1.0100	0.0100	0.6667
419	1.0100	0.6767	0.5100		
420	0.3433	0.0100	0.5100	0.5100	1.0001
421	1.0100	0.3433	0.0100	0.0100	0.0001
422	1.0100	0.7243		0.0100	0.0001
423	0.7600	0.0100	0.0100	0.0100	0.6667
424	1.0100	0.0100	1.0100	0.0100	0.0001
425	0.8671	0.0100	0.4100	0.0100	0.6667
426	0.5100	0.4100	0.2100	0.6767	1.0001
427	1.0100	1.0100	0.5100	0.0100	0.0001
428	1.0100	1.0100	0.7600	0.4386	0.3334
429	1.0100	0.5100	1.0100	0.2100	0.3334
431	0.6767	0.6767	0.3433	0.2600	1.0001
432	0.7600	1.0100	0.7600	0.8100	1.0001
434	0.8100	1.0100	0.5100	0.2600	1.0001
435	1.0100	0.0100		0.0100	0.0001
436	1.0100	0.3433	0.7600	1.0100	0.3334
437	1.0100	0.3433	1.0100	0.6767	0.3334
438	0.3433	0.3433	0.3433		
439	1.0100	1.0100	1.0100	1.0100	0.3334
440	1.0100	0.6767	0.4100	0.6767	0.3334
441	0.8100	0.4100	0.5100	1.0100	1.0001
442	1.0100	0.2600	0.0100	0.0100	0.0001
443	0.7600	0.0100	0.0100	0.0100	0.6667
444	1.0100	1.0100	1.0100	0.7600	0.3334
445	1.0100	0.0100	1.0100	0.4100	0.3334
446	0.3433	0.6767	0.3433	0.6100	1.0001
447	1.0100	0.6767	1.0100	0.6767	0.3334
448	1.0100	0.3433	1.0100	0.0100	0.0001
449	1.0100	0.3433	0.0100	0.0100	0.0001
450	0.7600	0.0100	0.0100	0.0100	0.6667
452	1.0100	0.5100	0.3433	0.0100	0.0001
453	1.0100	0.6767	1.0100		
454	0.7600	0.5100	0.3433	1.0100	1.0001
455	0.7600	0.5100	0.3433	0.0100	0.6667
456	0.5100	0.7600	0.8100	0.5100	1.0001
